date,open,high,close,low,volume,amount
2003/9/25,0.66,0.66,0.63,0.63,6011811,70686149
2003/9/26,0.62,0.64,0.62,0.62,2210343,25361912
2003/9/29,0.62,0.63,0.61,0.61,1836307,20817360
2003/9/30,0.61,0.61,0.6,0.59,1990527,21998764
2003/10/8,0.6,0.61,0.59,0.59,972361,10618126
2003/10/9,0.6,0.61,0.61,0.59,1140014,12614159
2003/10/10,0.61,0.64,0.63,0.6,1947522,22165474
2003/10/13,0.62,0.65,0.62,0.62,1473947,17172384
2003/10/14,0.62,0.63,0.62,0.62,636159,7274410
2003/10/15,0.63,0.64,0.63,0.62,1185763,13806578
2003/10/16,0.63,0.63,0.62,0.62,519676,5938407
2003/10/17,0.62,0.63,0.62,0.61,473862,5426660
2003/10/20,0.62,0.63,0.63,0.62,665974,7691362
2003/10/21,0.63,0.63,0.63,0.62,495656,5669009
2003/10/22,0.63,0.66,0.64,0.63,2052403,24352192
2003/10/23,0.64,0.65,0.64,0.64,592500,7008739
2003/10/24,0.64,0.65,0.64,0.64,547272,6475495
2003/10/27,0.64,0.64,0.62,0.61,875227,10028687
2003/10/28,0.6,0.63,0.61,0.6,335294,3801621
2003/10/29,0.61,0.62,0.6,0.6,538506,5968908
2003/10/30,0.6,0.61,0.6,0.6,161987,1793775
2003/10/31,0.6,0.62,0.61,0.6,278255,3132209
2003/11/3,0.61,0.61,0.61,0.6,238888,2662165
2003/11/4,0.61,0.63,0.62,0.61,524488,5968092
2003/11/5,0.62,0.62,0.61,0.61,250599,2823829
2003/11/6,0.61,0.61,0.58,0.58,504459,5494275
2003/11/7,0.59,0.59,0.57,0.54,774380,8077744
2003/11/10,0.57,0.57,0.56,0.55,284221,2886179
2003/11/11,0.56,0.56,0.56,0.55,125150,1274244
2003/11/12,0.56,0.56,0.55,0.54,162156,1633101
2003/11/13,0.55,0.56,0.55,0.54,252613,2528481
2003/11/14,0.55,0.55,0.55,0.54,116893,1173285
2003/11/17,0.6,0.6,0.57,0.56,497118,5275966
2003/11/18,0.56,0.56,0.55,0.55,134600,1362887
2003/11/19,0.54,0.56,0.56,0.54,131118,1334116
2003/11/20,0.56,0.58,0.58,0.56,581923,6109098
2003/11/21,0.58,0.58,0.57,0.56,455111,4760822
2003/11/24,0.56,0.6,0.59,0.56,259625,2760275
2003/11/25,0.58,0.6,0.59,0.57,525537,5671261
2003/11/26,0.59,0.6,0.6,0.59,452662,4943212
2003/11/27,0.6,0.6,0.59,0.57,388550,4224760
2003/11/28,0.59,0.61,0.6,0.59,428590,4713754
2003/12/2,0.6,0.61,0.6,0.6,629215,7010617
2003/12/3,0.6,0.61,0.59,0.59,346944,3798167
